"","Distribution","Timepoint","mean_MLE","median_MLE","CrI_MLE","mean_IS","median_IS","CrI_IS","mean_diff","var_ratio"
"1","Exponential","10 years","0.29","0.29","(0.20 to 0.38)","0.25","0.25","(0.18 to 0.33)","-0.03","0.78"
"2","Exponential","20 years","0.08","0.08","(0.04 to 0.14)","0.07","0.06","(0.03 to 0.11)","-0.02","0.61"
"3","Gen. Gamma","10 years","0.19","0.07","(0.00 to 0.70)","0.11","0.08","(0.00 to 0.39)","-0.08","0.25"
"4","Gen. Gamma","20 years","0.12","0.00","(0.00 to 0.66)","0.03","0.00","(0.00 to 0.24)","-0.09","0.12"
"5","Gompertz","10 years","0.05","0.00","(0.00 to 0.47)","0.05","0.01","(0.00 to 0.25)"," 0.00","0.32"
"6","Gompertz","20 years","0.02","0.00","(0.00 to 0.39)","0.00","0.00","(0.00 to 0.06)","-0.02","0.07"
"7","Log-logistic","10 years","0.29","0.29","(0.15 to 0.43)","0.24","0.24","(0.13 to 0.36)","-0.05","0.66"
"8","Log-logistic","20 years","0.15","0.15","(0.05 to 0.27)","0.11","0.11","(0.05 to 0.20)","-0.04","0.54"
"9","Log-normal","10 years","0.44","0.44","(0.30 to 0.55)","0.36","0.36","(0.22 to 0.48)","-0.08","1.05"
"10","Log-normal","20 years","0.29","0.29","(0.16 to 0.42)","0.21","0.21","(0.10 to 0.34)","-0.08","0.82"
"11","Weibull","10 years","0.14","0.13","(0.01 to 0.32)","0.12","0.12","(0.02 to 0.25)","-0.02","0.52"
"12","Weibull","20 years","0.02","0.01","(0.00 to 0.10)","0.01","0.01","(0.00 to 0.06)","-0.01","0.30"
